#tag,sec
_ignored,1.52139
lbm2euler,0.00111556
load_obs,0.107908
mpi_barrier,0.00850511
mpi_xk,0.00458622
mpi_xsol,0.0079062
mpi_yk,0.0027802
pack_xk,0.0213349
pack_yk,0.00412607
set_yo,0.0111563
solve,0.0666142
solve_comm_ovlp,0.032171
update_xk,0.0024457
